county,state,fips,cancer_rate,avg_annual_count,five_year_trend,has_cancer_data,rural_rural,rural_urban,trend_,trend_falling,trend_rising,trend_stable
adair county,kentucky,21001,583.1,149,0.7,1,True,False,False,False,False,True
lincoln county,minnesota,27081,582.3,50,1.1,1,True,False,False,False,False,True
rolette county,north dakota,38079,580.9,72,0.7,1,True,False,False,False,False,True
palo alto county,iowa,19147,580,74,-8.9,1,True,False,False,False,False,True
cameron parish,louisiana,22023,579.7,43,0.6,1,False,True,False,False,False,True
cumberland county,kentucky,21057,579.6,52,0.9,1,True,False,False,False,False,True
mccook county,south dakota,46087,578.8,44,1,1,False,True,False,False,False,True
pleasants county,west virginia,54073,577.4,60,0.5,1,True,False,False,False,False,True
logan county,west virginia,54045,576.7,268,0.4,1,True,False,False,False,False,True
grant county,kentucky,21081,575.8,162,0.7,1,False,True,False,False,True,False
wolfe county,kentucky,21237,574.5,53,-0.3,1,True,False,False,False,False,True
pickens county,georgia,13227,572.1,282,0.9,1,False,True,False,False,True,False
golden valley county,montana,30037,571.9,9,-0.2,1,True,False,False,False,False,True
whitley county,kentucky,21235,569.5,245,0.7,1,True,False,False,False,True,False
camp county,texas,48063,568.8,91,2,1,True,False,False,False,True,False
cass county,iowa,19029,568.8,113,0.8,1,True,False,False,False,True,False
mahnomen county,minnesota,27087,568,40,1.5,1,True,False,False,False,False,True
shelby county,illinois,17173,567.9,182,1.1,1,True,False,False,False,True,False
grayson county,kentucky,21085,567,197,0.7,1,True,False,False,False,False,True
lawrence county,ohio,39087,566,450,0.4,1,False,True,False,False,False,True
essex county,virginia,51057,565.6,95,2.5,1,True,False,False,False,True,False
marion county,illinois,17121,565.2,292,0.1,1,True,False,False,False,False,True
clinton county,kentucky,21053,565.1,74,1.2,1,True,False,False,False,False,True
piscataquis county,maine,23021,564.2,165,2,1,True,False,False,False,False,True
alexander county,illinois,17003,564.2,49,0.3,1,False,True,False,False,False,True
butler county,kentucky,21031,563.2,93,0.5,1,False,True,False,False,False,True
prairie county,montana,30079,563,10,-0.2,1,True,False,False,False,False,True
ripley county,missouri,29181,561.3,88,0.9,1,True,False,False,False,False,True
mathews county,virginia,51115,560.8,89,1.2,1,False,True,False,False,False,True
morgan county,illinois,17137,560.2,266,0.9,1,True,False,False,False,True,False
poinsett county,arkansas,05111,559.5,172,0.9,1,False,True,False,False,False,True
crenshaw county,alabama,01041,558.5,102,2.7,1,True,False,False,False,True,False
lewis county,west virginia,54041,558,137,0.4,1,True,False,False,False,False,True
pike county,illinois,17149,557.7,121,1,1,True,False,False,False,False,True
jackson county,south dakota,46071,556.9,16,1.6,1,True,False,False,False,False,True
dekalb county,illinois,17037,556.8,565,0.8,1,False,True,False,False,True,False
blaine county,nebraska,31009,556.6,4,3.1,1,True,False,False,False,False,True
carter county,kentucky,21043,555.8,202,0.8,1,False,True,False,False,True,False
harrison county,kentucky,21097,555.1,138,0.2,1,True,False,False,False,False,True
anson county,north carolina,37007,554.9,170,2.2,1,False,True,False,False,True,False
cherokee county,iowa,19035,554.9,100,0.3,1,True,False,False,False,False,True
scott county,illinois,17171,554.9,38,0.9,1,True,False,False,False,False,True
clay county,illinois,17025,554.3,106,0.6,1,True,False,False,False,False,True
macon county,illinois,17115,553.7,810,-0.1,1,False,True,False,False,False,True
pike county,ohio,39131,553.3,197,1.5,1,True,False,False,False,True,False
hernando county,florida,12053,553.1,1804,-1.2,1,False,True,False,True,False,False
lincoln county,west virginia,54043,553,160,-0.2,1,True,False,False,False,False,True
washington county,maine,23029,552.8,281,5.8,1,True,False,False,False,False,True
taylor county,kentucky,21217,552.7,182,-2.2,1,True,False,False,False,False,True
red lake county,minnesota,27125,552.4,31,1.5,1,True,False,False,False,False,True
lawrence county,kentucky,21127,552.4,119,0.5,1,False,True,False,False,False,True
monroe county,kentucky,21171,551.7,82,1.6,1,True,False,False,False,True,False
appanoose county,iowa,19007,551.7,107,0.4,1,True,False,False,False,False,True
clay county,west virginia,54015,551.1,67,-0.1,1,False,True,False,False,False,True
henry county,kentucky,21103,551.1,117,0.1,1,False,True,False,False,False,True
pike county,kentucky,21195,550.7,450,0.2,1,True,False,False,False,False,True
hopewell city,virginia,51670,550.2,147,0.2,1,False,True,False,False,False,True
kingsbury county,south dakota,46077,550.1,44,0.8,1,True,False,False,False,False,True
spencer county,kentucky,21215,550,129,0.3,1,False,True,False,False,False,True
covington city,virginia,51580,549.7,45,3.3,1,True,False,False,False,True,False
mason county,illinois,17125,549.5,112,-0.3,1,True,False,False,False,False,True
twiggs county,georgia,13289,549.2,69,0.8,1,False,True,False,False,False,True
niagara county,new york,36063,549,1642,0.1,1,False,True,False,False,False,True
mclean county,kentucky,21149,548.5,71,0.8,1,False,True,False,False,False,True
fleming county,kentucky,21069,548.5,109,0.1,1,True,False,False,False,False,True
lowndes county,alabama,01085,548.3,77,1.3,1,False,True,False,False,False,True
montour county,pennsylvania,42093,548,143,0.5,1,True,False,False,False,False,True
clay county,kentucky,21051,547.7,137,-1.9,1,True,False,False,True,False,False
rockcastle county,kentucky,21203,547.5,120,0.7,1,True,False,False,False,False,True
orleans county,new york,36073,547.5,300,0.5,1,False,True,False,False,False,True
cape may county,new jersey,34009,547.2,920,-0.7,1,False,True,False,True,False,False
tishomingo county,mississippi,28141,547.2,147,1.5,1,True,False,False,False,True,False
pulaski county,illinois,17153,546.9,43,1.4,1,True,False,False,False,True,False
norman county,minnesota,27107,546.5,51,3.7,1,True,False,False,False,True,False
oregon county,missouri,29149,546.3,72,2.1,1,True,False,False,False,True,False
harrison county,iowa,19085,546.2,112,0.3,1,False,True,False,False,False,True
buffalo county,south dakota,46017,546.1,9,0.6,1,True,False,False,False,False,True
oswego county,new york,36075,545.7,818,-0.2,1,False,True,False,False,False,True
sangamon county,illinois,17167,545.7,1414,0.3,1,False,True,False,False,False,True
edwards county,texas,48137,545.6,13,12.3,1,True,False,False,False,True,False
carlisle county,kentucky,21039,545.2,38,0.3,1,False,True,False,False,False,True
mercer county,kentucky,21167,545,171,0.5,1,True,False,False,False,False,True
green county,kentucky,21087,544.7,87,1.4,1,True,False,False,False,True,False
greene county,illinois,17061,544.6,95,0.3,1,True,False,False,False,False,True
macoupin county,illinois,17117,544.4,357,0.4,1,False,True,False,False,False,True
petersburg city,virginia,51730,544.3,226,0.2,1,False,True,False,False,False,True
washington county,ohio,39167,544.3,486,1.1,1,True,False,False,False,False,True
wilkin county,minnesota,27167,544.2,49,1.3,1,True,False,False,False,False,True
montgomery county,kentucky,21173,543.9,186,0.5,1,True,False,False,False,False,True
owen county,kentucky,21187,543.9,84,0.4,1,True,False,False,False,False,True
drew county,arkansas,05043,543.8,121,3.6,1,True,False,False,False,True,False
coahoma county,mississippi,28027,543.8,140,2.5,1,True,False,False,False,True,False
christian county,illinois,17021,543.5,261,-0.1,1,True,False,False,False,False,True
garfield county,nebraska,31071,542.7,17,1.3,1,True,False,False,False,False,True
grand isle county,vermont,50013,542.6,60,0.5,1,False,True,False,False,False,True
delta county,texas,48119,542.5,42,1.6,1,True,False,False,False,True,False
st. landry parish,louisiana,22097,542.3,543,0.6,1,True,False,False,False,True,False
pike county,georgia,13231,542,125,1,1,False,True,False,False,True,False
nassau county,florida,12089,541.8,737,-3.8,1,False,True,False,False,False,True
grundy county,illinois,17063,541.8,318,0,1,False,True,False,False,False,True
armstrong county,texas,48011,541.7,15,2.6,1,False,True,False,False,True,False
humphreys county,mississippi,28053,541.6,54,4.2,1,True,False,False,False,True,False
breckinridge county,kentucky,21027,541.5,153,0.6,1,True,False,False,False,False,True
elbert county,georgia,13105,541.3,148,0.9,1,True,False,False,False,False,True
sanborn county,south dakota,46111,541.3,18,0.1,1,True,False,False,False,False,True
nottoway county,virginia,51135,541.2,116,0.5,1,True,False,False,False,False,True
amelia county,virginia,51007,541.1,106,0.4,1,False,True,False,False,False,True
cortland county,new york,36023,541,308,0.3,1,True,False,False,False,False,True
monroe county,iowa,19135,540.9,57,0.5,1,True,False,False,False,False,True
logan county,illinois,17107,540.8,205,0.5,1,True,False,False,False,False,True
clay county,minnesota,27027,540.1,357,1,1,False,True,False,False,True,False
covington county,mississippi,28031,539.7,125,1.3,1,True,False,False,False,True,False
howard county,iowa,19089,539.3,73,0.5,1,True,False,False,False,False,True
woodruff county,arkansas,05147,539.3,51,1.2,1,True,False,False,False,False,True
white county,georgia,13311,538.7,228,0.4,1,True,False,False,False,False,True
clay county,south dakota,46027,538.2,68,3.5,1,True,False,False,False,True,False
hardin county,kentucky,21093,538.2,670,0,1,False,True,False,False,False,True
perry county,kentucky,21193,538.1,198,0,1,True,False,False,False,False,True
musselshell county,montana,30065,538,44,0.1,1,True,False,False,False,False,True
jefferson county,montana,30043,537.7,100,1.1,1,False,True,False,False,False,True
boyd county,kentucky,21019,537.6,363,0.4,1,False,True,False,False,False,True
hart county,kentucky,21099,537.5,129,0.6,1,True,False,False,False,False,True
lancaster county,virginia,51103,537.4,121,9,1,True,False,False,False,True,False
mcdowell county,north carolina,37111,537.2,351,0.8,1,True,False,False,False,False,True
montgomery county,missouri,29139,537,87,0.3,1,True,False,False,False,False,True
vermilion parish,louisiana,22113,537,373,0.3,1,False,True,False,False,False,True
jasper county,georgia,13159,536.9,103,-999,1,False,True,True,False,False,False
martin county,texas,48317,536.7,26,1.2,1,False,True,False,False,False,True
onslow county,north carolina,37133,536.5,829,0.4,1,False,True,False,False,False,True
vermilion county,illinois,17183,536.1,554,0.2,1,True,False,False,False,False,True
lexington city,virginia,51678,535.7,39,3.2,1,True,False,False,False,True,False
marshall county,tennessee,47117,535.6,226,0.4,1,True,False,False,False,False,True
allegany county,maryland,24001,535.4,526,0.5,1,True,False,False,False,False,True
marion county,kentucky,21155,535.4,130,0.9,1,True,False,False,False,True,False
oldham county,kentucky,21185,535.1,402,-0.3,1,False,True,False,False,False,True
russell county,kentucky,21207,535.1,136,0.4,1,True,False,False,False,False,True
jefferson county,new york,36045,534.9,667,0.2,1,False,True,False,False,False,True
pawnee county,oklahoma,40117,534.7,116,0.8,1,False,True,False,False,False,True
menominee county,wisconsin,55078,534.6,24,-1.2,1,True,False,False,False,False,True
lumpkin county,georgia,13187,534.6,219,0.3,1,False,True,False,False,False,True
wetzel county,west virginia,54103,534.6,118,-0.4,1,True,False,False,False,False,True
schuyler county,new york,36097,534.6,145,0.3,1,True,False,False,False,False,True
wayne county,kentucky,21231,534.5,151,0.5,1,True,False,False,False,False,True
martinsville city,virginia,51690,534.3,97,0.2,1,True,False,False,False,False,True
swain county,north carolina,37173,534.3,105,-0.2,1,True,False,False,False,False,True
randolph county,arkansas,05121,534.2,133,1.2,1,True,False,False,False,False,True
habersham county,georgia,13137,534.1,315,0.8,1,True,False,False,False,True,False
effingham county,georgia,13103,534.1,346,0.8,1,False,True,False,False,True,False
bullitt county,kentucky,21029,534,540,0.1,1,False,True,False,False,False,True
terrell county,georgia,13273,533.9,69,-1.2,1,False,True,False,True,False,False
mississippi county,missouri,29133,533.7,92,0.4,1,True,False,False,False,False,True
minnehaha county,south dakota,46099,533.7,1079,-0.1,1,False,True,False,False,False,True
st. james parish,louisiana,22093,533.5,144,0.9,1,False,True,False,False,True,False
schuylkill county,pennsylvania,42107,533.4,1120,0.4,1,True,False,False,False,True,False
decatur county,iowa,19053,533.4,55,0.7,1,True,False,False,False,True,False
wayne county,west virginia,54099,533.2,303,2.6,1,False,True,False,False,True,False
franklin county,nebraska,31061,532.9,26,6.5,1,True,False,False,False,False,True
trimble county,kentucky,21223,532.9,60,1.2,1,True,False,False,False,False,True
pendleton county,kentucky,21191,532.7,99,0.4,1,False,True,False,False,False,True
mercer county,illinois,17131,532.6,120,0.4,1,False,True,False,False,False,True
harrison county,west virginia,54033,532.4,490,0,1,True,False,False,False,False,True
oglethorpe county,georgia,13221,532.3,108,0.8,1,False,True,False,False,True,False
acadia parish,louisiana,22001,532.2,370,0.6,1,False,True,False,False,True,False
boone county,nebraska,31011,532.1,44,0.1,1,True,False,False,False,False,True
gallatin county,kentucky,21077,532,53,0.7,1,False,True,False,False,False,True
nelson county,kentucky,21179,531.5,300,-0.1,1,False,True,False,False,False,True
clinton county,iowa,19045,531.5,345,0.3,1,True,False,False,False,False,True
barren county,kentucky,21009,531.5,304,0.6,1,True,False,False,False,False,True
harlan county,kentucky,21095,531.4,195,0.3,1,True,False,False,False,False,True
franklin county,illinois,17055,531.2,288,0.2,1,True,False,False,False,False,True
lee county,georgia,13177,531.1,183,0.7,1,False,True,False,False,False,True
hubbard county,minnesota,27057,531.1,181,0.9,1,True,False,False,False,False,True
flagler county,florida,12035,531,1144,0,1,False,True,False,False,False,True
jefferson county,arkansas,05069,531,466,0.5,1,True,False,False,False,False,True
tama county,iowa,19171,530.8,123,0.5,1,True,False,False,False,False,True
grant county,minnesota,27051,530.6,50,0.6,1,True,False,False,False,False,True
gloucester county,new jersey,34015,530.6,1962,-0.2,1,False,True,False,False,False,True
sumter county,georgia,13261,530.5,193,0.6,1,True,False,False,False,False,True
st. martin parish,louisiana,22099,530.2,341,0.2,1,False,True,False,False,False,True
marion county,missouri,29127,530,194,0.6,1,True,False,False,False,False,True
jones county,georgia,13169,530,195,1.3,1,False,True,False,False,True,False
baylor county,texas,48023,529.8,28,-0.2,1,True,False,False,False,False,True
humphreys county,tennessee,47085,529.8,142,-0.7,1,True,False,False,False,False,True
walker county,texas,48471,529.7,442,7.7,1,True,False,False,False,True,False
calloway county,kentucky,21035,529.4,236,0.3,1,True,False,False,False,False,True
langlade county,wisconsin,55067,529.2,170,1.7,1,True,False,False,False,False,True
iberia parish,louisiana,22045,529.2,445,-0.1,1,True,False,False,False,False,True
iron county,missouri,29093,529.1,77,1.1,1,True,False,False,False,False,True
madison county,iowa,19121,528.9,110,4.6,1,False,True,False,False,True,False
bourbon county,kentucky,21017,528.9,148,-0.3,1,False,True,False,False,False,True
chippewa county,minnesota,27023,528.2,98,-3.4,1,True,False,False,False,False,True
pulaski county,kentucky,21199,527.8,466,-0.1,1,True,False,False,False,False,True
mason county,west virginia,54053,527.7,201,0.8,1,True,False,False,False,False,True
metcalfe county,kentucky,21169,527.6,76,0.6,1,True,False,False,False,False,True
mclean county,north dakota,38055,527.4,79,0.2,1,True,False,False,False,False,True
penobscot county,maine,23019,527.4,1094,0.6,1,False,True,False,False,False,True
warren county,georgia,13301,527.2,43,-999,1,True,False,True,False,False,False
jerauld county,south dakota,46073,527.2,15,-0.5,1,True,False,False,False,False,True
morris county,texas,48343,527.1,93,4.4,1,True,False,False,False,True,False
haakon county,south dakota,46055,526.9,16,-0.2,1,True,False,False,False,False,True
jackson county,colorado,08057,526.8,11,-0.2,1,True,False,False,False,False,True
clay county,arkansas,05021,526.8,117,1.5,1,True,False,False,False,True,False
citrus county,florida,12017,526.6,1672,0.7,1,False,True,False,False,False,True
jasper county,texas,48241,526.6,244,0.7,1,True,False,False,False,True,False
fredericksburg city,virginia,51630,526.5,134,-0.6,1,False,True,False,False,False,True
montgomery county,iowa,19137,526.5,80,0.6,1,True,False,False,False,False,True
mingo county,west virginia,54059,526.4,173,0,1,True,False,False,False,False,True
mercer county,north dakota,38057,526.4,62,0.9,1,True,False,False,False,False,True
buena vista city,virginia,51530,526,47,1.2,1,True,False,False,False,False,True
cheyenne county,colorado,08017,525.9,13,1.7,1,True,False,False,False,False,True
franklin county,iowa,19069,525.7,79,0.9,1,True,False,False,False,True,False
barrow county,georgia,13013,525.7,448,0.3,1,False,True,False,False,False,True
thurston county,nebraska,31173,525.7,33,0.1,1,True,False,False,False,False,True
thayer county,nebraska,31169,525.7,40,1.1,1,True,False,False,False,False,True
sussex county,virginia,51183,525.4,77,1.3,1,False,True,False,False,True,False
marion county,florida,12083,525.1,3397,-0.3,1,False,True,False,False,False,True
logan county,kentucky,21141,525.1,188,-0.1,1,True,False,False,False,False,True
montgomery county,new york,36057,525,353,-0.1,1,True,False,False,False,False,True
jasper county,illinois,17079,524.7,69,0.3,1,True,False,False,False,False,True
lanier county,georgia,13173,524.6,60,1.2,1,False,True,False,False,False,True
fulton county,illinois,17057,524.6,258,0.1,1,True,False,False,False,False,True
madison county,missouri,29123,524.5,93,0,1,True,False,False,False,False,True
fulton county,new york,36035,524.4,399,0.1,1,True,False,False,False,False,True
ocean county,new jersey,34029,524.3,4942,-0.4,1,False,True,False,True,False,False
clay county,iowa,19041,523.8,127,0.2,1,True,False,False,False,False,True
mcduffie county,georgia,13189,523.7,148,0.8,1,False,True,False,False,False,True
st. francois county,missouri,29187,523.5,440,0.5,1,True,False,False,False,False,True
becker county,minnesota,27005,523.4,262,0.8,1,True,False,False,False,False,True
mccreary county,kentucky,21147,523.3,108,-0.3,1,True,False,False,False,False,True
wyoming county,new york,36121,523.2,296,-1.4,1,True,False,False,True,False,False
bienville parish,louisiana,22013,523.2,100,0,1,True,False,False,False,False,True
mcculloch county,texas,48307,522.8,61,0.7,1,True,False,False,False,False,True
roane county,west virginia,54087,522.8,111,0,1,True,False,False,False,False,True
johnston county,oklahoma,40069,522.7,70,6.7,1,True,False,False,False,False,True
holmes county,mississippi,28051,522.6,106,0.1,1,False,True,False,False,False,True
gallia county,ohio,39053,522.5,206,0.7,1,True,False,False,False,False,True
boone county,west virginia,54005,522.3,168,0.5,1,False,True,False,False,False,True
jones county,north carolina,37103,522.3,78,0.3,1,True,False,False,False,False,True
wayne county,north carolina,37191,522.2,751,0.8,1,False,True,False,False,False,True
mccracken county,kentucky,21145,522.2,493,1.8,1,False,True,False,False,True,False
wapello county,iowa,19179,522.2,241,0.3,1,True,False,False,False,False,True
washington county,illinois,17189,522.2,104,0.1,1,True,False,False,False,False,True
kenton county,kentucky,21117,522,1010,0.9,1,False,True,False,False,False,True
ross county,ohio,39141,521.9,525,0.6,1,True,False,False,False,False,True
desha county,arkansas,05041,521.7,80,1.2,1,True,False,False,False,False,True
foard county,texas,48155,521.5,9,3.9,1,True,False,False,False,False,True
adams county,ohio,39001,521.2,191,0.9,1,True,False,False,False,False,True
hancock county,maine,23009,520.9,468,1,1,True,False,False,False,False,True
natchitoches parish,louisiana,22069,520.7,230,0.6,1,True,False,False,False,True,False
magoffin county,kentucky,21153,520.5,82,0.1,1,True,False,False,False,False,True
dickson county,tennessee,47043,520.4,346,0.7,1,False,True,False,False,True,False
monona county,iowa,19133,520.4,73,0.4,1,True,False,False,False,False,True
chickasaw county,iowa,19037,520.4,91,0.6,1,True,False,False,False,False,True
okmulgee county,oklahoma,40111,520.3,251,0.6,1,False,True,False,False,False,True
beauregard parish,louisiana,22011,520.2,223,0.4,1,True,False,False,False,False,True
monmouth county,new jersey,34025,520,4499,0.4,1,False,True,False,False,False,True
stanly county,north carolina,37167,519.7,434,0,1,True,False,False,False,False,True
martin county,kentucky,21159,519.6,75,0.2,1,True,False,False,False,False,True
mayes county,oklahoma,40097,519.6,269,2.4,1,True,False,False,False,True,False
woodbury county,iowa,19193,519.5,622,0.3,1,False,True,False,False,False,True
indian river county,florida,12061,519.3,1633,0.4,1,False,True,False,False,False,True
granville county,north carolina,37077,519,414,-0.7,1,True,False,False,False,False,True
stephens county,georgia,13257,519,193,0.4,1,True,False,False,False,False,True
sequoyah county,oklahoma,40135,518.9,269,-0.9,1,False,True,False,False,False,True
chickasaw county,mississippi,28017,518.8,116,0.6,1,True,False,False,False,False,True
crawford county,missouri,29055,518.6,169,-6.1,1,True,False,False,False,False,True
latimer county,oklahoma,40077,518.5,71,1.3,1,True,False,False,False,False,True
richmond county,north carolina,37153,518.5,295,0.4,1,True,False,False,False,False,True
keokuk county,iowa,19107,518.5,74,0.2,1,True,False,False,False,False,True
ontario county,new york,36069,518.5,838,0.2,1,False,True,False,False,False,True
yukon-koyukuk census area,alaska,02290,518.4,33,0.4,1,True,False,False,False,False,True
wayne county,georgia,13305,518.3,191,0,1,True,False,False,False,False,True
jones county,south dakota,46075,518.3,8,-0.7,1,True,False,False,False,False,True
clark county,kentucky,21049,518.3,248,0,1,False,True,False,False,False,True
warren county,new york,36113,518.3,526,0,1,False,True,False,False,False,True
marshall county,kentucky,21157,518.1,244,0,1,True,False,False,False,False,True
clay county,nebraska,31035,518.1,44,-0.4,1,True,False,False,False,False,True
randolph county,west virginia,54083,518,215,3.6,1,True,False,False,False,True,False
lamar county,georgia,13171,518,120,0.1,1,True,False,False,False,False,True
renville county,minnesota,27129,517.7,109,0.5,1,True,False,False,False,False,True
adams county,illinois,17001,517.6,468,2,1,True,False,False,False,True,False
pipestone county,minnesota,27117,517.1,69,0.2,1,True,False,False,False,False,True
washington parish,louisiana,22117,517.1,310,-0.2,1,True,False,False,False,False,True
seneca county,new york,36099,517,244,-0.3,1,True,False,False,False,False,True
grenada county,mississippi,28043,516.9,145,0.2,1,True,False,False,False,False,True
sharp county,arkansas,05135,516.9,146,0.5,1,True,False,False,False,False,True
erie county,new york,36029,516.8,6520,-0.6,1,False,True,False,True,False,False
allen parish,louisiana,22003,516.6,138,1.2,1,True,False,False,False,False,True
black hawk county,iowa,19013,516.6,812,0.1,1,False,True,False,False,False,True
butts county,georgia,13035,516.5,157,0.5,1,False,True,False,False,False,True
mississippi county,arkansas,05093,516.5,243,1.1,1,True,False,False,False,True,False
taylor county,west virginia,54091,516.5,123,3.3,1,True,False,False,False,True,False
todd county,south dakota,46121,516.4,29,0.6,1,True,False,False,False,False,True
jefferson county,ohio,39081,516.3,501,0.6,1,False,True,False,False,False,True
johnson county,kentucky,21115,516.3,161,-7.1,1,True,False,False,True,False,False
jackson county,ohio,39079,516.2,215,0.7,1,True,False,False,False,False,True
tunica county,mississippi,28143,516,53,0.9,1,False,True,False,False,False,True
washington county,kentucky,21229,516,83,1.4,1,True,False,False,False,True,False
cerro gordo county,iowa,19033,516,335,-4.1,1,True,False,False,False,False,True
olmsted county,minnesota,27109,516,965,-0.2,1,False,True,False,False,False,True
pasco county,florida,12101,515.8,4219,-1,1,False,True,False,True,False,False
arkansas county,arkansas,05001,515.8,126,0.9,1,True,False,False,False,False,True
wayne county,new york,36117,515.6,663,0,1,False,True,False,False,False,True
marshall county,minnesota,27089,515.5,70,1.1,1,True,False,False,False,False,True
bath county,virginia,51017,515.5,39,1.7,1,True,False,False,False,False,True
carter county,missouri,29035,515.4,39,0,1,True,False,False,False,False,True
chautauqua county,new york,36013,515.2,939,-1.1,1,True,False,False,False,False,True
jersey county,illinois,17083,515.1,155,0.6,1,False,True,False,False,False,True
towns county,georgia,13281,515.1,130,-0.4,1,True,False,False,False,False,True
suffolk county,new york,36103,514.9,10153,-0.6,1,False,True,False,True,False,False
greene county,iowa,19073,514.7,71,1,1,True,False,False,False,True,False
mchenry county,north dakota,38049,514.7,41,0.9,1,False,True,False,False,False,True
yates county,new york,36123,514.6,186,0,1,True,False,False,False,False,True
emmet county,iowa,19063,514.6,74,0.4,1,True,False,False,False,False,True
isanti county,minnesota,27059,514.4,260,1.1,1,False,True,False,False,True,False
camden county,new jersey,34007,514.3,3256,-0.3,1,False,True,False,False,False,True
tyrrell county,north carolina,37177,514.1,27,2.6,1,True,False,False,False,True,False
claiborne parish,louisiana,22027,514.1,105,1.2,1,True,False,False,False,False,True
butler county,iowa,19023,514.1,113,1.4,1,True,False,False,False,True,False
jackson county,illinois,17077,513.9,309,3.3,1,True,False,False,False,True,False
searcy county,arkansas,05129,513.8,66,1.1,1,True,False,False,False,False,True
volusia county,florida,12127,513.7,4580,-0.7,1,False,True,False,False,False,True
woodford county,kentucky,21239,513.6,189,-0.6,1,False,True,False,False,False,True
benton county,iowa,19011,513.6,179,0.1,1,False,True,False,False,False,True
jackson county,iowa,19097,513.6,146,0.3,1,True,False,False,False,False,True
fisher county,texas,48151,513.5,27,16.2,1,True,False,False,False,True,False
mccurtain county,oklahoma,40089,513.5,203,0,1,True,False,False,False,False,True
barbour county,west virginia,54001,513.1,109,0.5,1,True,False,False,False,False,True
baldwin county,georgia,13009,513.1,270,0.4,1,True,False,False,False,False,True
bureau county,illinois,17011,513.1,254,0,1,True,False,False,False,False,True
cherokee county,georgia,13057,513,1538,0.3,1,False,True,False,False,False,True
ford county,illinois,17053,513,95,-0.1,1,False,True,False,False,False,True
fayette county,west virginia,54019,512.9,306,0.5,1,False,True,False,False,False,True
clay county,florida,12019,512.8,1369,0.3,1,False,True,False,False,False,True
beltrami county,minnesota,27007,512.8,274,0.4,1,True,False,False,False,False,True
lee county,mississippi,28081,512.7,498,1.2,1,True,False,False,False,True,False
jefferson county,kentucky,21111,512.7,4896,-0.3,1,False,True,False,True,False,False
sampson county,north carolina,37163,512.7,392,0.8,1,True,False,False,False,True,False
buchanan county,iowa,19019,512.6,138,0,1,True,False,False,False,False,True
brunswick county,virginia,51025,512.6,124,1,1,True,False,False,False,True,False
dickinson county,iowa,19059,512.5,154,0.4,1,True,False,False,False,False,True
crawford county,georgia,13079,512.5,90,0.8,1,False,True,False,False,False,True
marion county,tennessee,47115,512.5,208,0.3,1,False,True,False,False,False,True
liberty county,montana,30051,512.4,15,9.2,1,True,False,False,False,False,True
campbell county,kentucky,21037,512.4,591,-0.2,1,False,True,False,False,False,True
nowata county,oklahoma,40105,512.3,69,0.6,1,True,False,False,False,False,True
walton county,georgia,13297,512,594,0.8,1,False,True,False,False,True,False
page county,iowa,19145,511.8,122,-0.5,1,True,False,False,False,False,True
southeast fairbanks census area,alaska,02240,511.8,38,4.3,1,True,False,False,False,False,True
ringgold county,iowa,19159,511.7,40,0.7,1,True,False,False,False,False,True
sterling county,texas,48431,511.7,7,-999,1,True,False,True,False,False,False
boone county,iowa,19015,511.7,187,1.9,1,False,True,False,False,True,False
